Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,,,,,,,Division,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
27,timetable,HS 506,Writing and Research in Philosophy,I - Siby K.George,  ,10,,, 0, View,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
28,timetable,HS 602,Science & Technology in India,I - Ahonaa Roy,  ,11,,, 50,,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,,,,,,,,
29,timetable,HS 606,Environmental Planning Development,I - Haripriya Gundimeda,  ,9,,, 50,,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,,,,,,,,
30,timetable,HS 618,Introduction to Indian Astronomy,I - K. Ramasubramanian,  ,6,,, 66,,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,,,,,,,,
31,timetable,HS 621,Contemporary Indian Philosophy,I - Ratikanta Panda,  ,6,,, 50,,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,,,,,,,,
32,timetable,HS 624,Contemporary Issues in Philosophy of Mind,I - Rajkishore Nath,  ,6,,, 50, View,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,,,,,,,,
33,timetable,HS 625,Philosophy of Education,I - R.K. Panda,  ,6,,, 50,,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,,,,,,,,
34,timetable,HS 626,Framing Caste,I - Ramesh Bairy,  ,5,,, 50, View,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
35,timetable,HS 629,Ecology and Society,I - Sarmistha Pattanaik,  ,6,,, 65,,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,,,,,,,,
36,timetable,HS 634,Theories of Verbal Congnition (Shaabdabodha),I - Kulkarni A Malhar,  ,12,,, 0,,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,,,,,,,,,,,,,
37,Instructor information not avilable,HS 693,R & D Project,,,,,, 0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
38,Instructor information not avilable,HS 699,Communication and Presentation Skills,,,,,, 0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
39,timetable,HS 710,Consumer Psychology,I - A. Khan,  ,6,,, 50,,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,,,,,,,,
40,timetable,HS 791,Communication Skills -I,I - De Amitava,  ,4,,, 0,,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,,,,,,,,,,,,,
41,timetable,HS 792,Communication Skills -II,A - Amrita Banerjee,  ,4,,, 0,,,,,,,,,,,,,,,
