,Course Code,Course Name,Dept,Division,Division.1,Instructor(s),Registration Limit,Restrictions,Slot,Slot_code,Time,Type,Venue,Yxx ka Y
105,CE 699,Transportation Systems Studio,CE,,,A - K.V.Krishna Rao I - Nagendra Rao Velaga, 60,,Wed-LX-14:00:00-16:55:00,LX,d-LX-14:00:00-16:55:00,timetable,  ,6
106,CE 706,Ocean Engineering Laboratory,CE,,,A - Manasa R. Behera I - R. Balaji, 60,,Wed-LX-14:00:00-16:55:00,LX,d-LX-14:00:00-16:55:00,timetable,  ,7
107,CE 707,Coastal Port and Harbor Engineering,CE,,,I - Manasa R. Behera, 60,,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,timetable,  ,7
108,CE 708,Offshore Engineering,CE,,,I - Deo M.C., 60,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  ,7
109,CE 710,Remote Sensing and Geographical Information Systems in Water Resources Management,CE,,,I - Eswar Rajasekaran, 60,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  ,7
110,CE 718,Construction Materials Laboratory,CE,,,I - Muhammad Salman, 60,,Wed-LX-14:00:00-16:55:00,LX,d-LX-14:00:00-16:55:00,timetable,  ,7
111,CE 719,Construction Contracts,CE,,,I - Venkata S. Delhi, 20,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  ,7
112,CE 722,Construction Management Studio,CE,,,A - Venkata S. Delhi I - Albert Thomas, 60,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  ,7
113,CE 723,Construction Equipment and Personnel Management,CE,,,I - Albert Thomas, 60,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  ,7
114,CE 725,Construction Economics and Fice,CE,,,I - Venkata S. Delhi, 20,,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,timetable,  ,7
115,CE 743,Condition Assessment and Rehabilitation of Structures,CE,,,I - Muhammad Salman, 20,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  ,7
116,CE 749,Freight transportation Planning and Logistics,CE,,,I - Gopal R. Patil, 60,,10 Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,10, Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,timetable,  ,7
117,CE 773,Geometric Design and Analysis of High-Speed Roadways,CE,,,I - Avijit Maji, 60,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  ,7
118,CE 776,Transportation Project Evaluation and Decision Making,CE,,,I - P.Vedagiri, 60,,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,12, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,timetable,  ,7
119,CE 780,Behavioural Travel Modelling,CE,,,I - K.V.Krishna Rao, 60,,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,11, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  ,7
120,CE 792,Communication Skills -II,CE,,,I - Bellie Sivakumar, 0,,X Wed-XC-17:30:00-18:55:00,0,Wed-XC-17:30:00-18:55:00,timetable,  ,7
