Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,,,,,,,Division
23,timetable,HS 402,Game Theory and Economic Analysis,I - Saptarshi Prosonno Ghosh,  ,10,,, 60,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,,,,,,
24,timetable,HS 408,Shakespearean Afterlives,I - Shastri Sudha,  ,5,,, 40,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,
25,timetable,HS 408,Shakespearean Afterlives,I - Shastri Sudha,  ,5, M,, 40,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,
26,timetable,HS 412,Social Movement and Social Change: Contemporary Reflections,I - Sarmistha Pattanaik,  ,2,,, 50,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,,,,,,
27,timetable,HS 414,"Justice, Ethics and Community",I - Amrita Banerjee,  ,2,,, 50,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,,,,,,
28,timetable,HS 418,Human Cognitive Processes,I - Rashmi Gupta,  ,2,,, 52,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,,,,,,
29,timetable,HS 426,Theory and Policy of Managerial Finance,I - Pooja Padhi,  ,15,,, 50, View,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-15B-19:00:00-20:25:00,,,,,,,,,,,
,,,,,,Tue-15A-19:00:00-20:25:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
30,timetable,HS 436,Indian Culture and Tradition,I - Kulkarni A Malhar,  ,2,,, 62,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,,,,,,
31,timetable,HS 466,Introduction to Linguistics,I - Sarma Vaijayanthi,  ,2,,, 50,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,,,,,,
32,timetable,HS 467,Indian Philosophy,I - Ratikanta Panda,  ,2,,, 50,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,,,,,,
33,Instructor information not avilable,HS 495,BS Project Stage I,,,,,, 0,,,,,,,,
,,,,,,,,,,,,,,,,,
34,timetable,HS 501,Vedanta Philosophy in the Vedic Tradition,I - C.D. Sebastian,  ,9,,, 0, View,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
35,timetable,HS 503,Philosophy in the Age of the Greeks,I - Arun A. Iyer,  ,11,,, 0, View,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
36,timetable,HS 505,Western Philosophy and the Advent of Modern Science,I - Vikram Singh Sirola,  ,10,,, 0, View,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
37,timetable,HS 557,Wittgenstein I: Wittgenstein’s Tractatus: The Formalistic Approach,I - Pravesh Jung Golay,  ,6,,, 0, View,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
38,timetable,HS 601,Development Planning & Policies : Issues & Alternatives,A - Anush Kapadia,  ,14,,, 0,,,,,,,,
,,,,I - Narayanan K.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,,,,,,
