12/24/2020,,,Running courses,,,,,,,
,,,Running courses for year 2020-2021 and semester 2,,,,,,,
2020-2021,,,,,,2 - Spring,GO,,,
Instructor Statu,,,,,,,,,,
*:Subj,,,,,,,,,,
Srno.,Type,CourseCode,Course Name,Instructor(s),Venue,Slot,Division,"BiometricAttendance
Enabled?",RegistrationLimit,Restrictions
,,,,,08:30:00-,,
,,,,,09:25:00,,
,,,,,4,,
,,,,,Mon-4A-,,
,,,,,11:35:00-,,
,,,,,12:30:00,,
36,timetable,HS 791,Communication,I - Ramesh Bairy,Thu-4C-,S2,0
,,,Skills -I,,09:30:00-,,
,,,,,10:25:00,,
,,,,,Tue-4B-,,
,,,,,08:30:00-,,
,,,,,09:25:00,,
,,,,,4,,
,,,,,Mon-4A-,,
,,,,,11:35:00-,,
,,,,,12:30:00,,
37,timetable,HS 791,Communication,I - Ramesh Bairy,Thu-4C-,S3,0
,,,Skills -I,,09:30:00-,,
,,,,,10:25:00,,
,,,,,Tue-4B-,,
,,,,,08:30:00-,,
,,,,,09:25:00,,
,,,,,4,,
,,,,,Mon-4A-,,
,,,,,11:35:00-,,
,,,,,12:30:00,,
38,timetable,HS 791,Communication,I - Ramesh Bairy,Thu-4C-,S4,0
,,,Skills -I,,09:30:00-,,
,,,,,10:25:00,,
,,,,,Tue-4B-,,
,,,,,08:30:00-,,
,,,,,09:25:00,,
39,timetable,HS 792,Communication,A - Amrita,4,,0
,,,Skills -II,Banerjee,,,
,,,,A - Ramesh Bairy,Mon-4A-,,
,,,,A - Robinson,11:35:00-,,
,,,,Rowena,12:30:00,,
,,,,A - Suddhaseel,Thu-4C-,,
,,,,Sen,09:30:00-,,
,,,,I - K.,10:25:00,,
,,,,Ramasubramanian,Tue-4B-,,
https://asc.iitb.ac.in/academic/utility/RunningCourses.jsp?deptcd=HS&year=2020&semester=2,,,,,,,5/7

12/24/2020,,,,,"Running courses
08:30:00-
09:25:00",
,,,,,8,
,,,,,Mon-8A-,
,,,Advanced,A - A. Khan,14:00:00-,
40,timetable,HS 803,Psychological,A - Rashmi Gupta,15:25:00,0
,,,Theory,I - Pooja Purang,Thu-8B-,
,,,,,14:00:00-,
,,,,,15:25:00,
,,,,,8,
,,,,,Mon-8A-,
,,,Advanced Theory,I - Robinson,14:00:00-,
41,timetable,HS 804,of Society,Rowena,15:25:00,0
,,,,,Thu-8B-,
,,,,,14:00:00-,
,,,,,15:25:00,
,,,,,8,
,,,,,Mon-8A-,
,,,Practice and,A - Shastri Sudha,14:00:00-,
42,timetable,HS 809,Theory of Literary,I - Suddhaseel,15:25:00,0
,,,Research,Sen,Thu-8B-,
,,,,,14:00:00-,
,,,,,15:25:00,
,,,,,9,
,,,Structure of,,Mon-9A-,
,,,Language & its,I - Sarma,15:30:00-,
43,timetable,HS 813,"applications,",Vaijayanthi,16:55:00,0
,,,Morphophonology,,Thu-9B-,
,,,and ELT,,15:30:00-,
,,,,,16:55:00,
,,,,,11,
,,,Architecture of,,,
,,,Grammer & its,,Fri-11B-,
,,,"applications,",I - Sarma,15:30:00-,
44,timetable,HS 814,Syntax,Vaijayanthi,16:55:00,0
,,,Semantics and,,Tue-11A-,
,,,Sociolinguistics,,15:30:00-,
,,,,,16:55:00,
,,,,,12,
,,,,,Mon-12A-,
,,,Languages in,I - Sarma,17:30:00-,
45,timetable,HS 815,Cognitive Science,Vaijayanthi,18:55:00,0
,,,,,Thu-12B-,
,,,,,17:30:00-,
,,,,,18:55:00,
,,,,,11,
,,,Sociology of,,Fri-11B-,
,,,Social,I - Parthasarathy,15:30:00-,
46,timetable,HS 818,Stratification in,D.,16:55:00,0
,,,India,,Tue-11A-,
,,,,,15:30:00-,
,,,,,16:55:00,
,,,,,8,
,,,,A - Pooja Padhi,,
,,,,A - Souvik,Mon-8A-,
,,,Applied,Banerjee,14:00:00-,
47,timetable,HS 821,Econometrics,I - Aditi,15:25:00,0
,,,,Balkrishna,Thu-8B-,
,,,,Chaubal,14:00:00-,
,,,,,15:25:00,
48,timetable,HS 822,The Study of one,A - Sharmila,11,0
,,,Major Indian,I - Ratheesh R.,,
,,,Writer in English,,Fri-11B-,
,,,,,15:30:00-,
,,,,,16:55:00,
,,,,,Tue-11A-,
https://asc.iitb.ac.in/academic/utility/RunningCourses.jsp?deptcd=HS&year=2020&semester=2,,,,,,6/7

12/24/2020,,,,,"Running courses
15:30:00-
16:55:00",
,,,,,12,
,,,,,Mon-12A-,
,,,Aesthetics and,,17:30:00-,
49,timetable,HS 837,Criticism,I - Arun A. Iyer,18:55:00,0
,,,,,Thu-12B-,
,,,,,17:30:00-,
,,,,,18:55:00,
,,,,,8,
,,,,,Mon-8A-,
,,,Paninian,I - Kulkarni A,14:00:00-,
50,timetable,HS 840,Grammar,Malhar,15:25:00,0
,,,,,Thu-8B-,
,,,,,14:00:00-,
,,,,,15:25:00,
,,,,,10,
,,,,,Fri-10B-,
,,,,I - K.,14:00:00-,
51,timetable,HS 845,Indian Logic,Ramasubramanian,15:25:00,0
,,,,,Tue-10A-,
,,,,,14:00:00-,
,,,,,15:25:00,
,,,,,10,
,,,Advanced,,Fri-10B-,
,,,Research,,14:00:00-,
52,timetable,HS 859,Techniques in,I - Pooja Purang,15:25:00,0
,,,Psychology,,Tue-10A-,
,,,,,14:00:00-,
,,,,,15:25:00,
,,,,,14,
,,,,,Fri-14B-,
,,,Archive and the,I - Sharmistha,17:30:00-,
53,timetable,HS 860,Arts,Saha,18:55:00,0
,,,,,Tue-14A-,
,,,,,17:30:00-,
,,,,,18:55:00,
https://asc.iitb.ac.in/academic/utility/RunningCourses.jsp?deptcd=HS&year=2020&semester=2,,,,,,7/7
