,Course Code,Course Name,Division,Division.1,Instructor(s),Registration Limit,Restrictions,Slot,Slot_code,Time,Type,Venue
98,HS 505,Western Philosophy and the Advent of Modern Science,,,I - Vikram Singh Sirola, 0, View,10 Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,1, Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,timetable,  
99,HS 557,Wittgenstein I: Wittgenstein’s Tractatus: The Formalistic Approach,,,I - Pravesh Jung Golay, 0, View,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  
100,HS 601,Development Planning & Policies : Issues & Alternatives,,,A - Anush Kapadia I - Naraya K., 0,,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,1, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,timetable,  
101,HS 603,Socio-Psychological Perspectives in Development & Change,,,I - Kushal Deb, 0,,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,1, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  
102,HS 605,Research Methods in Social Sciences,,,A - Parthasarathy D. A - Sarmistha Pattanaik I - Vikram Singh Sirola, 0, View,10 Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,1, Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,timetable,  
103,HS 615,Computer Aided Applied Statistics,,,I - Mrinmoyi Kulkarni I - Parthasarathy D., 0,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  
104,HS 636,Development of Mathematics in India,,,I - K. Ramasubramanian, 50,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  
105,HS 637,Anthropology and Disaster,,,I - Robinson Rowena, 0, View,5,5,,timetable,  
106,HS 691,Field Visit,,,, 0,,,0,,Instructor information not avilable,
107,HS 694,Seminar,,,, 0,,,0,,Instructor information not avilable,
108,HS 699,Communication and Presentation Skills,,,, 0,,,0,,Instructor information not avilable,
109,HS 706,Classical Indian Thought in Modern Times,,,I - Rajkishore Nath, 50,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  
110,HS 791,Communication Skills -I,,,, 0,,,0,,Instructor information not avilable,
111,HS 791,Communication Skills -I, S1,,, 0,,,0,,Instructor information not avilable,
112,HS 792,Communication Skills -II,,,A - Paulomi Chakraborty A - Ramesh Bairy A - Suryakant Waghmore I - Siby K.George, 0,,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,timetable,  
113,HS 800,Research Methods in Social Sciences,,,I - Ramesh Bairy, 0,,10 Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,1, Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,timetable,  
114,HS 802,Advanced Economic Theory,,,I - Surajit Bhattacharya, 0,,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,1, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  
115,HS 807,Phenomenology and Existentialism,,,I - Siby K.George, 0,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  
116,HS 811,Literary Theory,,,I - Paulomi Chakraborty, 0,,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,1, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  
117,HS 824,Cultural Studies,,,I - Ratheesh R., 0,,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,timetable,  
118,HS 842,Philosophy of Language in Sanskrit Literature,,,I - Kulkarni A Malhar, 0,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  
119,HS 847,Algorithms in Indian Astronomy,,,I - K. Ramasubramanian, 0,,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,1, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  
120,HS 849,Theories of Human Development,,,I - Mrinmoyi Kulkarni, 0,,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,1, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,timetable,  
121,HSS801,Seminar,,,I - Ramesh Bairy, 0,,,0,,timetable,  
